Label,CSI_Data_Run
110,96,6,0,0,0,0,0,0,0,0,0,-8,14,-8,12,-9,13,-10,13,-9,12,-9,12,-10,12,-9,12,-10,12,-10,11,-11,12,-10,11,-12,12,-11,11,-10,10,-12,12,-11,11,-10,11,-10,11,-10,10,-11,11,-11,10,-10,10,-10,11,-11,11,-10,11,0,0,-10,12,-9,12,-10,12,-9,13,-10,12,-10,13,-10,13,-9,13,-9,13,-8,13,-9,14,-9,14,-9,14,-9,14,-8,15,-9,15,-10,15,-8,15,-9,15,-9,16,-9,16,-9,15,-9,16,-9,16,-9,15,-9,15,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-15,10,-14,8,-16,9,-17,9,-18,7,-16,7,-17,6,-15,6,-16,6,-17,6,-16,6,-16,6,-17,5,-16,5,-15,5,-18,3,-16,5,-16,4,-15,4,-15,2,-15,4,-16,3,-16,4,-16,4,-15,4,-15,4,0,0,-16,4,-16,6,-16,4,-15,6,-16,4,-16,4,-15,4,-15,6,-17,5,-18,7,-16,7,-14,8,-14,8,-15,7,-15,7,-15,8,-17,8,-14,8,-16,8,-16,8,-16,8,-16,8,-16,8,-16,10,-15,9,-15,8,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-12,15,-12,14,-13,14,-13,14,-14,13,-14,12,-14,11,-14,11,-14,10,-15,11,-15,10,-14,10,-14,10,-15,9,-14,9,-15,9,-14,9,-13,8,-13,8,-12,8,-13,7,-12,8,-12,8,-12,8,-12,8,-11,9,0,0,-11,9,-11,10,-11,9,-11,10,-10,9,-11,10,-11,10,-11,10,-11,11,-9,12,-10,12,-9,12,-10,12,-10,12,-10,13,-10,13,-10,13,-10,13,-10,13,-10,14,-11,14,-11,13,-10,14,-10,14,-10,14,-10,14,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-8,18,-9,17,-10,18,-10,17,-11,17,-10,15,-11,16,-11,14,-11,14,-12,15,-12,13,-12,14,-13,13,-12,13,-11,12,-12,13,-12,12,-11,12,-11,11,-10,12,-11,11,-10,11,-10,10,-11,11,-11,11,-10,11,0,0,-9,12,-9,12,-8,12,-7,12,-8,12,-8,13,-8,13,-7,12,-7,13,-7,14,-7,15,-7,13,-7,14,-7,14,-7,15,-6,16,-7,15,-6,15,-6,15,-5,16,-6,16,-6,15,-7,16,-7,16,-6,16,-6,16,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-16,13,-18,12,-19,11,-19,11,-18,10,-19,9,-18,8,-18,8,-18,7,-18,7,-18,7,-18,7,-18,7,-18,6,-17,7,-18,6,-17,7,-15,6,-16,5,-16,5,-16,5,-16,5,-14,5,-15,5,-15,6,-14,7,0,0,-14,7,-14,7,-15,8,-13,8,-13,8,-13,9,-13,9,-13,9,-13,9,-12,11,-13,11,-13,10,-13,11,-13,12,-13,11,-14,12,-14,11,-14,13,-14,12,-13,12,-14,13,-14,13,-14,13,-14,14,-14,14,-14,14,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,7,19,6,20,6,20,5,20,5,20,4,20,3,21,2,20,3,20,2,21,1,21,2,21,2,20,0,20,1,19,0,20,0,20,1,18,0,18,0,18,-1,19,-1,18,0,18,1,19,1,19,1,18,0,0,0,18,2,18,2,19,2,19,1,18,3,19,3,19,2,19,2,20,3,18,4,19,4,19,4,19,5,20,4,20,5,21,4,21,5,20,4,21,4,20,5,21,4,20,5,19,6,21,5,21,6,21,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,10,16,10,16,9,17,8,17,7,17,8,15,7,17,6,16,6,16,5,16,6,16,5,16,5,16,5,16,4,15,5,17,4,15,4,15,3,14,4,14,4,13,5,13,3,14,4,13,4,13,5,12,0,0,5,12,6,12,6,11,6,12,6,12,8,11,7,12,7,10,8,11,8,10,11,11,9,9,9,10,10,9,11,10,11,10,12,12,11,11,12,10,12,10,13,10,12,11,12,10,14,11,13,11,14,12,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-10,-15,-9,-15,-9,-16,-8,-16,-8,-16,-8,-16,-7,-17,-7,-16,-7,-16,-6,-17,-5,-17,-5,-18,-5,-18,-4,-17,-4,-17,-4,-18,-4,-17,-4,-16,-3,-16,-4,-16,-4,-16,-4,-16,-3,-15,-3,-16,-3,-16,-4,-16,0,0,-4,-15,-5,-15,-4,-15,-5,-15,-4,-14,-5,-15,-5,-15,-6,-14,-6,-15,-7,-15,-7,-15,-6,-14,-6,-15,-7,-14,-7,-14,-8,-15,-7,-15,-8,-14,-8,-14,-8,-14,-9,-14,-9,-14,-8,-14,-9,-14,-8,-14,-9,-14,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-5,19,-6,18,-6,18,-7,19,-8,18,-8,18,-8,18,-8,17,-9,17,-9,17,-10,18,-9,18,-10,17,-10,17,-10,16,-11,16,-11,16,-10,15,-10,15,-10,15,-10,15,-10,14,-9,14,-9,15,-9,15,-9,16,0,0,-8,15,-8,16,-9,16,-8,16,-8,14,-8,15,-7,15,-7,15,-7,16,-5,16,-6,17,-5,17,-6,17,-5,18,-6,17,-5,19,-6,18,-4,18,-5,19,-4,18,-4,19,-5,18,-4,19,-4,19,-4,19,-4,20,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-17,8,-16,7,-19,7,-16,5,-17,8,-16,6,-18,5,-17,4,-17,5,-20,4,-18,3,-18,3,-18,3,-18,3,-16,2,-17,3,-16,3,-17,3,-17,3,-17,2,-16,2,-15,2,-16,1,-17,3,-17,2,-16,4,0,0,-15,3,-15,5,-15,6,-16,5,-15,6,-15,6,-16,6,-18,4,-14,7,-16,9,-17,8,-16,7,-15,7,-15,8,-15,11,-15,9,-19,8,-17,10,-17,9,-16,10,-16,8,-16,9,-19,9,-17,10,-17,10,-18,10,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,19,6,19,8,19,9,19,10,18,9,18,10,17,10,17,10,17,12,15,10,16,12,16,12,16,12,16,12,15,11,16,13,15,13,13,12,14,12,13,11,14,11,14,12,13,11,14,11,14,11,15,10,0,0,14,10,15,10,16,10,14,9,15,9,16,9,15,10,15,9,16,9,16,8,17,8,16,8,17,8,18,8,17,8,18,8,18,8,18,7,18,7,18,7,19,8,19,7,18,7,19,7,19,7,19,6,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-2,16,-3,16,-4,18,-5,18,-5,17,-5,16,-5,17,-5,15,-5,17,-6,16,-7,17,-7,17,-7,17,-7,16,-7,16,-8,17,-7,15,-7,15,-7,15,-7,15,-7,15,-7,14,-6,15,-6,15,-7,15,-6,15,0,0,-5,16,-6,17,-5,16,-4,17,-5,15,-5,17,-5,16,-4,16,-5,17,-3,17,-4,18,-4,17,-4,17,-4,18,-4,18,-4,19,-4,19,-3,18,-3,19,-2,19,-3,20,-4,19,-3,19,-3,19,-3,19,-3,19,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-18,1,-18,2,-19,2,-18,2,-18,0,-18,1,-18,0,-17,-1,-18,1,-18,-3,-18,-3,-19,-4,-18,-5,-18,-3,-16,-4,-17,-3,-17,-4,-17,-3,-16,-3,-17,-2,-17,-3,-16,-2,-15,-3,-15,-4,-17,-4,-16,-3,0,0,-15,-3,-16,-1,-16,-2,-16,-2,-15,-3,-15,0,-16,0,-16,0,-15,2,-16,2,-17,-1,-16,-1,-14,-1,-16,1,-17,0,-17,2,-17,2,-17,2,-17,2,-17,3,-17,2,-17,3,-17,1,-18,2,-18,1,-18,1,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-8,-18,-8,-16,-7,-18,-7,-17,-8,-18,-7,-19,-5,-20,-4,-19,-6,-18,-4,-19,-5,-17,-2,-19,-2,-20,-3,-18,-2,-18,-3,-20,-2,-17,-1,-17,-3,-15,-1,-16,-4,-17,-4,-17,-2,-17,-3,-18,-3,-17,-4,-17,0,0,-4,-15,-4,-17,-4,-15,-6,-17,-4,-15,-5,-17,-4,-17,-5,-16,-5,-19,-5,-19,-7,-17,-5,-15,-5,-16,-5,-15,-7,-19,-6,-16,-7,-18,-6,-15,-6,-18,-7,-18,-6,-17,-6,-16,-7,-16,-8,-16,-7,-16,-8,-16,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-15,-11,-14,-12,-15,-12,-13,-13,-13,-13,-13,-13,-12,-13,-12,-14,-11,-14,-11,-14,-10,-14,-10,-14,-10,-14,-9,-14,-9,-13,-9,-13,-9,-13,-9,-13,-8,-12,-8,-11,-9,-12,-8,-12,-9,-11,-8,-10,-9,-11,-9,-11,0,0,-10,-10,-11,-10,-10,-10,-11,-10,-10,-9,-11,-10,-11,-10,-12,-9,-12,-9,-12,-9,-13,-9,-13,-8,-13,-9,-13,-9,-14,-9,-14,-9,-15,-9,-14,-9,-15,-8,-15,-9,-15,-9,-16,-9,-15,-9,-15,-9,-15,-9,-16,-8,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,0,-12,-1,-12,-2,-12,1,-11,-1,-13,0,-14,1,-10,1,-12,1,-12,0,-9,0,-12,-1,-12,1,-10,1,-10,0,-11,-1,-13,0,-14,-1,-14,0,-12,0,-12,1,-14,-2,-16,0,-16,0,-16,0,-17,0,-14,0,0,-1,-17,-2,-17,-1,-18,-2,-18,0,-17,0,-19,0,-18,0,-20,-1,-19,-2,-20,-2,-19,-1,-18,-3,-18,-3,-19,-3,-21,2,-21,-1,-21,-1,-20,-1,-22,-1,-22,0,-22,0,-22,1,-21,-2,-24,0,-23,-1,-23,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,16,0,15,0,16,0,16,1,16,1,15,2,16,2,15,2,15,2,15,3,16,3,16,3,15,3,15,3,15,3,15,3,14,3,14,3,14,2,14,3,14,3,14,3,13,3,14,2,15,3,14,2,0,0,14,2,15,1,15,1,15,1,14,1,16,1,16,1,16,0,16,1,16,0,17,0,16,0,17,0,17,0,18,0,17,0,18,0,18,-1,18,0,18,-1,19,1,19,0,19,0,19,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-17,-9,-17,-10,-17,-11,-17,-12,-16,-12,-15,-12,-15,-12,-15,-12,-14,-12,-14,-12,-14,-14,-14,-14,-13,-14,-13,-14,-12,-13,-13,-15,-12,-14,-12,-13,-12,-13,-12,-13,-12,-12,-11,-12,-11,-12,-11,-12,-12,-13,-12,-12,0,0,-12,-12,-13,-12,-13,-12,-13,-11,-12,-11,-14,-11,-13,-11,-13,-11,-14,-11,-15,-10,-15,-10,-14,-10,-15,-10,-15,-9,-15,-10,-16,-10,-16,-10,-16,-9,-17,-10,-16,-9,-17,-10,-17,-10,-17,-9,-17,-10,-16,-9,-17,-10,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-1,19,-3,19,-3,19,-4,19,-4,19,-4,18,-5,18,-5,17,-5,18,-5,17,-6,18,-6,18,-7,17,-7,17,-6,16,-6,17,-7,16,-6,15,-7,16,-7,15,-6,15,-6,16,-5,15,-6,15,-6,16,-4,16,0,0,-5,15,-4,15,-4,16,-3,15,-4,16,-3,16,-4,16,-3,16,-3,16,-2,16,-1,17,-2,16,-2,16,-2,17,0,17,-1,18,-1,18,0,19,0,19,0,18,0,19,0,18,-1,18,0,19,0,18,0,19,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-21,-4,-21,-5,-22,-6,-22,-7,-21,-7,-20,-7,-20,-8,-20,-8,-20,-9,-19,-9,-20,-9,-19,-10,-19,-10,-19,-10,-17,-10,-17,-11,-17,-10,-16,-10,-17,-10,-16,-9,-16,-10,-16,-10,-15,-9,-16,-9,-16,-9,-16,-9,0,0,-16,-8,-16,-7,-17,-8,-16,-6,-16,-7,-17,-7,-17,-7,-17,-7,-17,-6,-16,-6,-17,-5,-17,-5,-17,-5,-19,-5,-17,-4,-19,-4,-18,-4,-18,-4,-19,-4,-19,-3,-19,-4,-19,-3,-18,-3,-19,-3,-19,-3,-19,-2,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-19,-5,-19,-6,-20,-6,-20,-7,-19,-8,-18,-9,-19,-9,-18,-9,-17,-9,-18,-9,-18,-11,-17,-11,-18,-11,-17,-10,-16,-10,-16,-12,-15,-11,-14,-12,-15,-11,-15,-10,-15,-10,-14,-10,-14,-10,-14,-10,-15,-11,-15,-9,0,0,-15,-10,-15,-9,-15,-9,-16,-9,-15,-8,-16,-9,-16,-9,-16,-8,-16,-8,-17,-7,-17,-7,-16,-7,-16,-7,-17,-7,-17,-7,-18,-7,-18,-7,-18,-5,-18,-6,-18,-5,-18,-6,-18,-6,-18,-6,-18,-6,-18,-6,-18,-6,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,1,-19,3,-18,3,-19,4,-19,3,-20,4,-18,4,-18,5,-17,5,-17,7,-18,6,-18,6,-17,6,-18,7,-17,7,-17,7,-18,7,-16,5,-14,7,-15,5,-15,6,-14,6,-14,5,-14,6,-15,5,-15,4,-15,0,0,5,-15,3,-16,5,-16,1,-16,2,-15,3,-16,3,-16,1,-16,2,-17,0,-17,2,-17,1,-16,0,-17,1,-17,1,-18,1,-17,1,-18,0,-17,1,-18,-1,-18,0,-19,0,-17,1,-19,0,-19,1,-18,1,-19,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,18,5,17,5,17,5,18,6,17,6,16,6,16,6,16,6,16,6,15,7,16,8,16,7,15,8,15,9,16,7,15,8,15,8,14,8,14,7,13,7,14,6,15,7,13,6,13,7,14,7,14,6,0,0,15,6,15,6,15,6,15,5,14,5,15,5,15,5,15,4,16,5,15,4,16,4,15,4,16,4,16,4,16,4,17,4,17,4,17,3,17,3,16,2,17,3,17,3,17,3,18,3,17,3,17,3,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-4,-16,-3,-17,-3,-17,-2,-17,-1,-16,-1,-17,0,-16,0,-17,-1,-16,0,-16,1,-17,1,-17,2,-17,1,-16,1,-15,1,-15,1,-16,2,-14,2,-15,1,-15,1,-14,1,-15,1,-13,1,-14,1,-14,0,-15,0,0,0,-15,0,-13,0,-15,0,-14,0,-14,-1,-14,0,-14,-1,-14,-1,-14,-3,-14,-3,-14,-2,-13,-2,-14,-2,-15,-2,-14,-4,-15,-1,-14,-3,-15,-3,-14,-3,-14,-4,-14,-3,-13,-2,-13,-2,-14,-3,-14,-4,-14,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,4,-23,4,-23,6,-23,6,-24,7,-22,7,-22,8,-22,9,-21,8,-21,9,-20,10,-22,10,-21,11,-20,10,-20,10,-19,10,-20,10,-18,10,-18,10,-17,9,-18,10,-18,10,-18,9,-17,8,-17,9,-17,8,-17,0,0,7,-17,7,-17,7,-18,6,-18,6,-17,7,-18,7,-18,6,-18,5,-18,4,-19,4,-19,4,-18,4,-19,3,-19,3,-20,4,-20,4,-21,2,-21,3,-21,2,-20,3,-21,2,-20,2,-20,2,-21,2,-20,2,-20,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,-2,-20,-2,-20,-1,-21,0,-21,0,-20,1,-20,0,-20,1,-19,1,-20,2,-19,3,-19,4,-19,4,-19,4,-19,3,-18,4,-19,4,-17,4,-17,3,-17,3,-16,3,-16,3,-17,3,-16,4,-16,3,-16,2,-16,0,0,2,-16,1,-17,2,-16,1,-16,1,-16,0,-17,0,-16,0,-16,-1,-17,-1,-17,-1,-17,0,-16,-1,-16,-2,-17,-2,-17,-2,-18,-2,-18,-3,-18,-3,-17,-4,-17,-3,-18,-3,-18,-2,-18,-3,-18,-2,-18,-3,-18,0,0,0,0,0,0,0,0,0,0
110,96,6,0,0,0,0,0,0,0,0,0,5,18,4,18,3,18,3,18,2,18,2,18,1,18,1,18,1,18,1,18,0,19,0,19,0,18,0,18,0,17,-1,18,-1,17,-1,16,-1,16,-1,16,-1,16,-1,16,0,16,-1,15,0,16,1,16,0,0,1,15,1,16,1,16,2,15,1,15,2,16,2,15,2,15,2,16,4,16,4,16,3,16,4,15,4,16,4,16,5,17,5,17,5,16,5,17,5,16,6,17,5,16,5,16,7,17,6,16,6,17,0,0,0,0,0,0,0,0,0,0
